Week,Week_Number,Customer,NU,Nu_Rank,NUSlope,RankSlope
7/16/16,7,CHASE BANK,9895.050349,18,-25.05549,0
7/9/16,6,CHASE BANK,9511.781813,20,-25.05549,0
7/2/16,5,CHASE BANK,10015.39029,20,-25.05549,0
6/25/16,4,CHASE BANK,10827.62719,17,-25.05549,0
6/18/16,3,CHASE BANK,10055.61066,20,-25.05549,0
6/11/16,2,CHASE BANK,10177.6266,19,-25.05549,0
6/4/16,1,CHASE BANK,9671.598275,22,-25.05549,0
6/4/16,1,IBM,7823.724737,30,-889.423499,0
6/11/16,2,IBM,7978.368603,27,-889.423499,0
6/18/16,3,IBM,8469.693884,25,-889.423499,0
6/25/16,4,IBM,8831.046756,21,-889.423499,0
7/2/16,5,IBM,8670.565958,24,-889.423499,0
7/9/16,6,IBM,7161.590678,30,-889.423499,0
7/16/16,7,IBM,0,31,-889.423499,0
7/16/16,7,JEFF BEZOS,0,31,-940.342993,0
7/9/16,6,JEFF BEZOS,0,31,-940.342993,0
7/2/16,5,JEFF BEZOS,0,31,-940.342993,0
6/25/16,4,JEFF BEZOS,0,31,-940.342993,0
6/18/16,3,JEFF BEZOS,0,31,-940.342993,0
6/11/16,2,JEFF BEZOS,0,31,-940.342993,0
6/4/16,1,JEFF BEZOS,8776.534605,26,-940.342993,0
6/4/16,1,TYSON CHICKEN,0,31,1694.883491,-1
6/11/16,2,TYSON CHICKEN,0,31,1694.883491,-1
6/18/16,3,TYSON CHICKEN,0,31,1694.883491,-1
6/25/16,4,TYSON CHICKEN,0,31,1694.883491,-1
7/2/16,5,TYSON CHICKEN,7142.323486,30,1694.883491,-1
7/9/16,6,TYSON CHICKEN,7508.157247,26,1694.883491,-1
7/16/16,7,TYSON CHICKEN,8432.699929,23,1694.883491,-1
6/4/16,1,SONY,56578.83317,3,-1657.361391,0
6/11/16,2,SONY,57789.32548,3,-1657.361391,0
6/18/16,3,SONY,57798.71881,3,-1657.361391,0
6/25/16,4,SONY,53548.02923,4,-1657.361391,0
7/2/16,5,SONY,49620.04151,4,-1657.361391,0
7/9/16,6,SONY,48958.20659,4,-1657.361391,0
7/16/16,7,SONY,49723.76521,3,-1657.361391,0
7/16/16,7,ORACLE,0,31,-2343.069383,2
7/9/16,6,ORACLE,0,31,-2343.069383,2
7/2/16,5,ORACLE,0,31,-2343.069383,2
6/25/16,4,ORACLE,0,31,-2343.069383,2
6/18/16,3,ORACLE,0,31,-2343.069383,2
